Day of sim.,Day of year,Year,Air T,Radiation
,,,(deg. C),(W/m2)
day,doy,year,air_temp,rad
1074, 42,   4,           3.70,          35.80
1075, 43,   4,           3.80,          25.42
1076, 44,   4,           3.50,          56.72
1077, 45,   4,           4.00,          76.30
1078, 46,   4,           5.80,          15.00
1079, 47,   4,           8.50,          10.40
1080, 48,   4,           6.80,          40.50
1081, 49,   4,           5.50,          54.30
1082, 50,   4,           4.90,          52.00
1083, 51,   4,           4.80,          12.70
1084, 52,   4,           5.60,          67.10
1085, 53,   4,           6.30,          26.60
1086, 54,   4,           4.60,          30.00
1087, 55,   4,           4.30,          53.20
1088, 56,   4,           4.60,          54.30
1089, 57,   4,           2.00,          37.02
1090, 58,   4,           0.80,          64.80
1091, 59,   4,           3.90,         108.00
1092, 60,   4,           4.90,          24.30
1093, 61,   4,           5.00,          55.50
1094, 62,   4,           4.80,          99.52
1095, 63,   4,           4.40,          38.10
